Program,Year,Period,Geo Level,State,State ANSI,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2018,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,192
SURVEY,2017,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,180
SURVEY,2017,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173
SURVEY,2017,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181
SURVEY,2017,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173
SURVEY,2017,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171
SURVEY,2016,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173
SURVEY,2016,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187
SURVEY,2016,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177
SURVEY,2016,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177
SURVEY,2016,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185
SURVEY,2015,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150
SURVEY,2015,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158
SURVEY,2015,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156
SURVEY,2015,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156
SURVEY,2015,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156
SURVEY,2014,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,188
SURVEY,2014,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,179
SURVEY,2014,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186
SURVEY,2014,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186
SURVEY,2014,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,184
SURVEY,2013,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177
SURVEY,2013,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166
SURVEY,2013,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174
SURVEY,2013,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166
SURVEY,2012,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,99
SURVEY,2012,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,100
SURVEY,2012,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,100
SURVEY,2012,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,100
SURVEY,2012,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,100
SURVEY,2011,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,146
SURVEY,2011,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150
SURVEY,2011,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145
SURVEY,2011,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145
SURVEY,2011,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145
SURVEY,2010,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157
SURVEY,2010,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176
SURVEY,2010,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2010,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2010,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170
SURVEY,2009,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171
SURVEY,2009,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163
SURVEY,2009,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166
SURVEY,2009,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166
SURVEY,2009,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163
SURVEY,2008,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2008,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164
SURVEY,2008,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2008,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2008,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,162
SURVEY,2007,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,154
SURVEY,2007,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157
SURVEY,2007,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158
SURVEY,2007,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158
SURVEY,2007,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2006,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157
SURVEY,2006,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167
SURVEY,2006,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,159
SURVEY,2006,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165
SURVEY,2006,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167
SURVEY,2005,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,154
SURVEY,2005,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145
SURVEY,2005,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,151
SURVEY,2005,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149
SURVEY,2005,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149
SURVEY,2004,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168
SURVEY,2004,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156
SURVEY,2004,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,169
SURVEY,2004,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167
SURVEY,2004,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157
SURVEY,2003,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,146
SURVEY,2003,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,144
SURVEY,2003,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150
SURVEY,2003,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,148
SURVEY,2003,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145
SURVEY,2002,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,121
SURVEY,2002,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,124
SURVEY,2002,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,117
SURVEY,2002,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,117
SURVEY,2002,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,119
SURVEY,2001,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156
SURVEY,2001,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147
SURVEY,2001,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2001,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2001,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152
SURVEY,2000,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,146
SURVEY,2000,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155
SURVEY,2000,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147
SURVEY,2000,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,151
SURVEY,2000,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155
SURVEY,1999,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132
SURVEY,1999,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130
SURVEY,1999,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130
SURVEY,1999,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128
SURVEY,1999,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128
SURVEY,1998,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137
SURVEY,1998,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,136
SURVEY,1998,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137
SURVEY,1998,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137
SURVEY,1998,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,139
SURVEY,1997,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122
SURVEY,1997,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,127
SURVEY,1997,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,120
SURVEY,1997,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,120
SURVEY,1997,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122
SURVEY,1996,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,123
SURVEY,1996,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,118
SURVEY,1996,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,124
SURVEY,1996,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,120
SURVEY,1996,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,118
SURVEY,1995,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,113
SURVEY,1995,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,135
SURVEY,1995,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,116
SURVEY,1995,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,119
SURVEY,1995,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,125
SURVEY,1994,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,144
SURVEY,1994,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132
SURVEY,1994,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,141
SURVEY,1994,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137
SURVEY,1994,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132
SURVEY,1993,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132
SURVEY,1993,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140
SURVEY,1993,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128
SURVEY,1993,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,133
SURVEY,1993,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,136
SURVEY,1992,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147
SURVEY,1992,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130
SURVEY,1992,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143
SURVEY,1992,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,133
SURVEY,1992,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130
SURVEY,1991,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,92
SURVEY,1991,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,98
SURVEY,1991,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,94
SURVEY,1991,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,94
SURVEY,1991,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,93
SURVEY,1990,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129
SURVEY,1990,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128
SURVEY,1990,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130
SURVEY,1990,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132
SURVEY,1990,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132
SURVEY,1989,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,133
SURVEY,1989,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,123
